shelf,date_composed,date_filed,title,location,type,status,summary,link
project,,,cleanroom/decode2dim_prereg_AMENDMENT3_20260727.md,"claude.ai project ""2026-07-26""",amendment,offered/record,Successive-cancellation decoder; bars unchanged.,
project,,,cleanroom/decode2dim_prereg_AMENDMENT4_20260727.md,"claude.ai project ""2026-07-26""",amendment,offered/record,Dyadic dictionary fix: a=1 impossible (unique involution); V-shape signal destroyed.,
project,,,cleanroom/decode2dim_STATUS_KD2_20260727.md,"claude.ai project ""2026-07-26""",status/close,offered/record,KD-2: no production; planted control ⇒ solver power ≈ 0 at scale; corner floors voided; entry bar set. [spine #42],
project,,,cleanroom/PROVENANCE_MANIFEST_v4_addendum_20260727.txt,"claude.ai project ""2026-07-26""",manifest,offered/record,v4 addendum: six-for-six + face2_decider artifacts.,
project,,,cleanroom/PROVENANCE_MANIFEST_v5_addendum_20260727.txt,"claude.ai project ""2026-07-26""",manifest,offered/record,v5 addendum: 2-dim decode campaign artifacts.,
project,,,cleanroom/asides_consolidation_log_entry_20260727B.md,"claude.ai project ""2026-07-26""",practice,offered/record,Session-B log: anchors A12–A17; optimizer-manufactured signal named; dictionary-lint + planted-benchmark controls.,
project,,,cleanroom/tep_grasp_snapshot_PREREAD_20260727.md,"claude.ai project ""2026-07-26""",snapshot,offered/record,Frozen pre-read TEP-grasp snapshot (baseline for the DIFF).,
project,,,cleanroom/tep_grasp_DIFF_postread_20260727.md,"claude.ai project ""2026-07-26""",grade,offered/record,Post-read diff: grasp-not-echo; missing pieces named; read-before-campaign rule proposed.,
project,,,cleanroom/portseam_reconsidered_20260727.md,"claude.ai project ""2026-07-26""",record,offered/record,k-parity split [V]; even-side w₂ ledger trivial on all seven fields; objective correction + meter self-gate.,
project,,,cleanroom/budget_instantiation_atlas_20260727.md,"claude.ai project ""2026-07-26""",atlas,offered/record,~35 budget identities machine-verified (30–40 dps); corrected by its ERRATA.,
project,,,cleanroom/budget_atlas_ERRATA_sourced_addendum_20260727.md,"claude.ai project ""2026-07-26""",errata,offered/record,E-1..E-4 against the atlas; mature G_new = seam-jet gauge; read-before-reconstructing rule.,
project,,,cleanroom/STARTER_next_session_20260803.md,"claude.ai project ""2026-07-26""",starter (superseded),offered/record,Post-C starter; superseded by the 08-04 starter (kept for history).,
project,,,cleanroom/decode2dim_RESUMPTION_preregistration_20260803.md,"claude.ai project ""2026-07-26""",prereg,offered/record,"The conductor-minimal retarget (N=1951, quintic nebentypus); GATE-M ladder; bars immovable. [spine #43]",
project,,,cleanroom/decode2dim_COMMIT_20260803.md,"claude.ai project ""2026-07-26""",commit,offered/record,"THE COMMIT: 67 bits, blind N=1951, sin-type, orientation B, 8.957e-15; seal terminus. [spine #44]",
project,,,cleanroom/DECODE_COMMIT_bundle_20260803.json,"claude.ai project ""2026-07-26""",commit bundle,offered/record,Machine-readable 67-bit table + sensitivities + negatives + provisional mid-band.,
project,,,cleanroom/decode2dim_RESULTS_20260803.md,"claude.ai project ""2026-07-26""",results,offered/record,Summit results + conjugate-cell replication (2.649e-15); GATE-M solver science; priority claim. [spine #44],
project,,,cleanroom/asides_consolidation_log_entry_20260803C.md,"claude.ai project ""2026-07-26""",practice,offered/record,Session-C log: anchors A18–A23; inherited-gauge complacency named; countersign backlog three deep.,
project,,,cleanroom/decode2141_preregistration_20260804.md,"claude.ai project ""2026-07-26""",prereg,offered/record,Second-summit prereg: 8 live cells (order × port × orientation); own shadow rebuilt first.,
project,,,cleanroom/decode2141_RESULTS_20260804.md,"claude.ai project ""2026-07-26""",results,offered/record,2141 decoded on demand (~40 min): unique cell at 4.057e-15; order-5 selected; ε-lock 7.2e-16. [spine #45],
project,,,cleanroom/decode2dim_VERIFICATION_addendum_20260804.md,"claude.ai project ""2026-07-26""",verification,offered/record,"Five adversarial avenues V1–V5 (+V6 mid-band); u narrowed to {ζ₁₀³, ζ₁₀⁸}. [spine #46]",
project,,,cleanroom/decode2dim_CRESPO_GRADE_20260804.md,"claude.ai project ""2026-07-26""",grade,offered/record,"Constructor's grade: PASS both fields, 65/65 mod one odd quadratic twist each; parity derived. [spine #47]",
project,,,cleanroom/decode2dim_crossverify_supplement_20260804.md,"claude.ai project ""2026-07-26""",verification,offered/record,"Will's four cross-checks: totpos stdout, per-prime correlation tables, twist uniqueness (~24,000 candidates), independence provenance.",
project,,,cleanroom/erratum_totpos_framing_20260804.md,"claude.ai project ""2026-07-26""",erratum,offered/record,Same-day self-correction: det(I+U)≥0 is an identity for SO(5); parity closure rests on measured twist-oddness.,
project,,,cleanroom/budget_syzygy_dictionary_20260804.md,"claude.ai project ""2026-07-26""",record,offered/record,Klein-sheet budget–syzygy dictionary verified & corrected; seam-at-i/Fricke [O] question.,
project,,,cleanroom/aside_ruler_heuristic_closure_20260804.md,"claude.ai project ""2026-07-26""",practice,offered/record,Ruler-heuristic ↔ multi-arm seam decoder closure; thesis-hood positioning.,
project,,,cleanroom/PROVENANCE_MANIFEST_v6_addendum_20260803.txt,"claude.ai project ""2026-07-26""",manifest,offered/record,v6 (+v6b/c/d/e) sectioned manifest for sessions C/08-04.,
project,,,cleanroom/countersign_ledger_20260803.md,"claude.ai project ""2026-07-26""",ledger,offered/record,The consolidated countersign backlog (A/B/C items + standing); extended by C-additions and D-1…D-6. [spine #48],
project,,,cleanroom/asides_consolidation_log_entry_20260804D.md,"claude.ai project ""2026-07-26""",practice,offered/record,Session-C late-arc log: the otherwise-unfiled foundations conversation (attestation; four-text adjudication; A0–T4 axiomatization; dual-face refinements; Xie–Yuan note).,
project,,,cleanroom/STARTER_next_session_20260804.md,"claude.ai project ""2026-07-26""",starter (LIVE),offered/record,The live frontier statement + decision menu + conventions + drift-watch. [spine #49],
project,,,cleanroom/SCRIPTS_BUNDLE_C_20260804.txt,"claude.ai project ""2026-07-26""",bundle,offered/record,ALL session-C scripts (sha256 66332155…) — fresh container regenerates everything from the project alone.,
